miembro_cedula,fecha_pago,monto
V-10000056,2025-12-14,30.0
V-10000056,2025-11-14,30.0
V-10000056,2025-10-15,30.0
V-10000057,2026-02-20,30.0
V-10000057,2026-01-21,30.0
V-10000057,2025-12-22,30.0
V-10000057,2025-11-22,30.0
V-10000058,2026-01-26,30.0
V-10000058,2025-12-27,30.0
V-10000059,2026-02-16,30.0
V-10000059,2026-01-17,30.0
V-10000059,2025-12-18,30.0
V-10000060,2026-02-21,30.0
V-10000061,2025-10-06,30.0
V-10000061,2025-09-06,30.0
V-10000061,2025-08-07,30.0
V-10000062,2026-01-31,30.0
V-10000062,2026-01-01,30.0
V-10000062,2025-12-02,30.0
V-10000063,2025-12-18,30.0
V-10000063,2025-11-18,30.0
V-10000064,2025-12-02,30.0
V-10000065,2026-01-18,30.0
V-10000065,2025-12-19,30.0
V-10000066,2026-01-17,30.0
V-10000066,2025-12-18,30.0
V-10000066,2025-11-18,30.0
V-10000066,2025-10-19,30.0
V-10000067,2025-12-12,30.0
V-10000067,2025-11-12,30.0
V-10000067,2025-10-13,30.0
V-10000068,2026-02-03,30.0
V-10000069,2026-01-25,30.0
V-10000069,2025-12-26,30.0
V-10000069,2025-11-26,30.0
V-10000070,2025-10-01,30.0
V-10000071,2026-01-24,30.0
V-10000071,2025-12-25,30.0
V-10000072,2025-12-20,30.0
V-10000072,2025-11-20,30.0
V-10000072,2025-10-21,30.0
V-10000072,2025-09-21,30.0
V-10000073,2025-12-27,30.0
V-10000073,2025-11-27,30.0
V-10000073,2025-10-28,30.0
V-10000074,2026-02-04,30.0
V-10000074,2026-01-05,30.0
V-10000074,2025-12-06,30.0
V-10000074,2025-11-06,30.0
V-10000075,2025-12-20,30.0
V-10000075,2025-11-20,30.0
V-10000075,2025-10-21,30.0
V-10000075,2025-09-21,30.0
V-10000076,2026-01-25,30.0
V-10000076,2025-12-26,30.0
V-10000076,2025-11-26,30.0
V-10000077,2026-01-06,30.0
V-10000077,2025-12-07,30.0
V-10000078,2025-12-27,30.0
V-10000078,2025-11-27,30.0
V-10000078,2025-10-28,30.0
V-10000078,2025-09-28,30.0
V-10000079,2025-12-12,30.0
V-10000080,2026-01-17,30.0
V-10000080,2025-12-18,30.0
V-10000080,2025-11-18,30.0
V-10000080,2025-10-19,30.0
V-10000081,2025-12-31,30.0
V-10000081,2025-12-01,30.0
V-10000081,2025-11-01,30.0
V-10000081,2025-10-02,30.0
V-10000082,2025-12-27,30.0
V-10000082,2025-11-27,30.0
V-10000083,2025-12-02,30.0
V-10000084,2026-01-22,30.0
V-10000084,2025-12-23,30.0
V-10000084,2025-11-23,30.0
V-10000084,2025-10-24,30.0
V-10000085,2026-01-07,30.0
V-10000085,2025-12-08,30.0
V-10000085,2025-11-08,30.0
V-10000086,2025-09-22,30.0
V-10000087,2026-01-24,30.0
V-10000087,2025-12-25,30.0
V-10000088,2025-09-06,30.0
V-10000089,2026-02-03,30.0
V-10000090,2025-10-22,30.0
V-10000090,2025-09-22,30.0
V-10000090,2025-08-23,30.0
V-10000090,2025-07-24,30.0
V-10000091,2025-12-06,30.0
V-10000091,2025-11-06,30.0
V-10000092,2026-01-11,30.0
V-10000092,2025-12-12,30.0
V-10000092,2025-11-12,30.0
V-10000092,2025-10-13,30.0
V-10000093,2025-12-24,30.0
V-10000094,2025-12-20,30.0
V-10000094,2025-11-20,30.0
V-10000094,2025-10-21,30.0
V-10000095,2025-12-11,30.0
V-10000095,2025-11-11,30.0
V-10000095,2025-10-12,30.0
V-10000096,2026-01-24,30.0
V-10000096,2025-12-25,30.0
V-10000096,2025-11-25,30.0
V-10000096,2025-10-26,30.0
V-10000097,2025-10-20,30.0
V-10000097,2025-09-20,30.0
V-10000098,2025-12-10,30.0
V-10000098,2025-11-10,30.0
V-10000098,2025-10-11,30.0
V-10000099,2026-01-03,30.0
V-10000099,2025-12-04,30.0
V-10000099,2025-11-04,30.0
V-10000099,2025-10-05,30.0
V-10000100,2026-02-22,30.0
V-10000101,2025-12-12,30.0
V-10000101,2025-11-12,30.0
V-10000101,2025-10-13,30.0
V-10000102,2025-12-16,30.0
V-10000102,2025-11-16,30.0
V-10000102,2025-10-17,30.0
V-10000103,2026-02-09,30.0
V-10000103,2026-01-10,30.0
V-10000104,2025-12-25,30.0
V-10000104,2025-11-25,30.0
V-10000104,2025-10-26,30.0
V-10000105,2026-01-18,30.0
V-10000105,2025-12-19,30.0
V-10000106,2026-02-08,30.0
V-10000106,2026-01-09,30.0
V-10000106,2025-12-10,30.0
V-10000107,2025-12-24,30.0
V-10000108,2026-01-12,30.0
V-10000108,2025-12-13,30.0
V-10000109,2026-01-04,30.0
V-10000109,2025-12-05,30.0
V-10000109,2025-11-05,30.0
V-10000109,2025-10-06,30.0
V-10000110,2025-09-19,30.0
V-10000110,2025-08-20,30.0
V-10000110,2025-07-21,30.0
V-10000111,2025-12-09,30.0
V-10000111,2025-11-09,30.0
V-10000112,2025-12-11,30.0
V-10000112,2025-11-11,30.0
V-10000112,2025-10-12,30.0
V-10000112,2025-09-12,30.0
V-10000113,2026-02-12,30.0
V-10000113,2026-01-13,30.0
V-10000114,2025-12-16,30.0
V-10000115,2025-12-26,30.0
V-10000115,2025-11-26,30.0
V-10000115,2025-10-27,30.0
V-10000116,2025-12-28,30.0
V-10000117,2025-11-02,30.0
V-10000117,2025-10-03,30.0
V-10000118,2026-01-16,30.0
V-10000118,2025-12-17,30.0
V-10000118,2025-11-17,30.0
V-10000119,2026-01-21,30.0
V-10000119,2025-12-22,30.0
V-10000119,2025-11-22,30.0
V-10000119,2025-10-23,30.0
V-10000120,2025-12-09,30.0
V-10000120,2025-11-09,30.0
V-10000120,2025-10-10,30.0
V-10000121,2026-02-22,30.0
V-10000121,2026-01-23,30.0
V-10000121,2025-12-24,30.0
V-10000122,2025-12-30,30.0
V-10000122,2025-11-30,30.0
V-10000122,2025-10-31,30.0
V-10000123,2025-12-26,30.0
V-10000123,2025-11-26,30.0
V-10000123,2025-10-27,30.0
V-10000124,2026-01-13,30.0
V-10000124,2025-12-14,30.0
V-10000124,2025-11-14,30.0
V-10000124,2025-10-15,30.0
V-10000125,2025-11-19,30.0
V-10000125,2025-10-20,30.0
V-10000125,2025-09-20,30.0
V-10000126,2026-02-24,30.0
V-10000126,2026-01-25,30.0
V-10000126,2025-12-26,30.0
V-10000126,2025-11-26,30.0
V-10000127,2025-12-23,30.0
V-10000127,2025-11-23,30.0
V-10000127,2025-10-24,30.0
V-10000127,2025-09-24,30.0
V-10000128,2025-10-25,30.0
V-10000128,2025-09-25,30.0
V-10000128,2025-08-26,30.0
V-10000128,2025-07-27,30.0
V-10000129,2026-02-04,30.0
V-10000129,2026-01-05,30.0
V-10000129,2025-12-06,30.0
V-10000130,2026-02-10,30.0
V-10000130,2026-01-11,30.0
V-10000130,2025-12-12,30.0
V-10000130,2025-11-12,30.0
V-10000131,2026-01-21,30.0
V-10000131,2025-12-22,30.0
V-10000131,2025-11-22,30.0
V-10000131,2025-10-23,30.0
V-10000132,2026-01-06,30.0
V-10000132,2025-12-07,30.0
V-10000133,2026-01-02,30.0
V-10000133,2025-12-03,30.0
V-10000133,2025-11-03,30.0
V-10000134,2025-12-11,30.0
V-10000134,2025-11-11,30.0
V-10000134,2025-10-12,30.0
V-10000134,2025-09-12,30.0
V-10000135,2025-12-17,30.0
V-10000135,2025-11-17,30.0
V-10000135,2025-10-18,30.0
V-10000135,2025-09-18,30.0
V-10000136,2026-01-26,30.0
V-10000136,2025-12-27,30.0
V-10000136,2025-11-27,30.0
V-10000136,2025-10-28,30.0
V-10000137,2025-12-02,30.0
V-10000137,2025-11-02,30.0
V-10000138,2026-01-13,30.0
V-10000139,2026-01-03,30.0
V-10000139,2025-12-04,30.0
V-10000140,2026-01-05,30.0
V-10000141,2025-12-24,30.0
V-10000142,2026-02-13,30.0
V-10000142,2026-01-14,30.0
V-10000142,2025-12-15,30.0
V-10000142,2025-11-15,30.0
V-10000143,2026-02-21,30.0
V-10000144,2026-02-06,30.0
V-10000144,2026-01-07,30.0
V-10000145,2025-12-08,30.0
V-10000145,2025-11-08,30.0
V-10000145,2025-10-09,30.0
V-10000145,2025-09-09,30.0
V-10000146,2025-10-02,30.0
V-10000146,2025-09-02,30.0
V-10000146,2025-08-03,30.0
V-10000147,2025-12-17,30.0
V-10000147,2025-11-17,30.0
V-10000148,2026-01-01,30.0
V-10000148,2025-12-02,30.0
V-10000148,2025-11-02,30.0
V-10000149,2026-02-11,30.0
V-10000149,2026-01-12,30.0
V-10000150,2026-01-18,30.0
V-10000151,2026-02-18,30.0
V-10000151,2026-01-19,30.0
V-10000151,2025-12-20,30.0
V-10000151,2025-11-20,30.0
V-10000152,2025-12-07,30.0
V-10000152,2025-11-07,30.0
V-10000152,2025-10-08,30.0
V-10000153,2026-02-20,30.0
V-10000153,2026-01-21,30.0
V-10000153,2025-12-22,30.0
V-10000154,2026-02-02,30.0
V-10000154,2026-01-03,30.0
V-10000155,2026-01-21,30.0
V-10000155,2025-12-22,30.0
V-10000156,2025-12-27,30.0
V-10000157,2026-01-05,30.0
V-10000158,2026-01-22,30.0
V-10000158,2025-12-23,30.0
V-10000158,2025-11-23,30.0
V-10000158,2025-10-24,30.0
V-10000159,2025-09-20,30.0
V-10000159,2025-08-21,30.0
V-10000159,2025-07-22,30.0
V-10000160,2026-01-17,30.0
V-10000160,2025-12-18,30.0
V-10000160,2025-11-18,30.0
V-10000160,2025-10-19,30.0
V-10000161,2025-12-23,30.0
V-10000162,2025-12-17,30.0
V-10000162,2025-11-17,30.0
V-10000162,2025-10-18,30.0
V-10000162,2025-09-18,30.0
V-10000163,2025-12-08,30.0
V-10000163,2025-11-08,30.0
V-10000163,2025-10-09,30.0
V-10000163,2025-09-09,30.0
V-10000164,2026-01-25,30.0
V-10000164,2025-12-26,30.0
V-10000164,2025-11-26,30.0
V-10000165,2026-01-31,30.0
V-10000166,2026-02-18,30.0
V-10000166,2026-01-19,30.0
V-10000166,2025-12-20,30.0
V-10000167,2025-12-16,30.0
V-10000167,2025-11-16,30.0
V-10000168,2025-12-10,30.0
V-10000169,2026-02-02,30.0
V-10000170,2026-01-25,30.0
V-10000170,2025-12-26,30.0
V-10000170,2025-11-26,30.0
V-10000171,2025-10-08,30.0
V-10000172,2026-02-11,30.0
V-10000172,2026-01-12,30.0
V-10000172,2025-12-13,30.0
V-10000172,2025-11-13,30.0
V-10000173,2025-12-04,30.0
V-10000174,2025-12-24,30.0
V-10000174,2025-11-24,30.0
V-10000174,2025-10-25,30.0
V-10000174,2025-09-25,30.0
V-10000175,2025-11-14,30.0
V-10000175,2025-10-15,30.0
V-10000175,2025-09-15,30.0
V-10000176,2025-12-19,30.0
V-10000176,2025-11-19,30.0
V-10000176,2025-10-20,30.0
V-10000177,2026-02-10,30.0
V-10000177,2026-01-11,30.0
V-10000178,2025-12-28,30.0
V-10000178,2025-11-28,30.0
V-10000178,2025-10-29,30.0
V-10000178,2025-09-29,30.0
V-10000179,2026-01-23,30.0
V-10000179,2025-12-24,30.0
V-10000179,2025-11-24,30.0
V-10000180,2026-02-13,30.0
V-10000180,2026-01-14,30.0
V-10000180,2025-12-15,30.0
V-10000180,2025-11-15,30.0
V-10000181,2025-09-20,30.0
V-10000181,2025-08-21,30.0
V-10000181,2025-07-22,30.0
V-10000182,2026-02-18,30.0
V-10000182,2026-01-19,30.0
V-10000182,2025-12-20,30.0
V-10000183,2026-01-28,30.0
V-10000183,2025-12-29,30.0
V-10000184,2026-01-08,30.0
V-10000185,2025-12-07,30.0
V-10000186,2026-01-16,30.0
V-10000186,2025-12-17,30.0
V-10000186,2025-11-17,30.0
V-10000187,2026-01-04,30.0
V-10000188,2026-01-02,30.0
V-10000188,2025-12-03,30.0
V-10000188,2025-11-03,30.0
V-10000188,2025-10-04,30.0
V-10000189,2025-12-14,30.0
V-10000190,2025-11-20,30.0
V-10000190,2025-10-21,30.0
V-10000190,2025-09-21,30.0
V-10000191,2026-01-21,30.0
V-10000191,2025-12-22,30.0
V-10000192,2025-09-05,30.0
V-10000192,2025-08-06,30.0
V-10000192,2025-07-07,30.0
V-10000192,2025-06-07,30.0
V-10000193,2025-12-10,30.0
V-10000194,2026-01-23,30.0
V-10000194,2025-12-24,30.0
V-10000194,2025-11-24,30.0
V-10000195,2026-02-02,30.0
V-10000195,2026-01-03,30.0
V-10000196,2026-01-10,30.0
V-10000197,2026-02-15,30.0
V-10000197,2026-01-16,30.0
V-10000197,2025-12-17,30.0
V-10000198,2026-01-04,30.0
V-10000199,2025-11-17,30.0
V-10000199,2025-10-18,30.0
V-10000200,2025-10-22,30.0
V-10000200,2025-09-22,30.0
V-10000200,2025-08-23,30.0
V-10000201,2026-02-10,30.0
V-10000201,2026-01-11,30.0
V-10000202,2025-10-29,30.0
V-10000202,2025-09-29,30.0
V-10000203,2025-12-06,30.0
V-10000203,2025-11-06,30.0
V-10000203,2025-10-07,30.0
V-10000203,2025-09-07,30.0
V-10000204,2025-12-07,30.0
V-10000204,2025-11-07,30.0
V-10000204,2025-10-08,30.0
V-10000205,2025-12-06,30.0
V-10000205,2025-11-06,30.0
V-10000205,2025-10-07,30.0
V-10000206,2026-01-16,30.0
V-10000206,2025-12-17,30.0
V-10000206,2025-11-17,30.0
V-10000206,2025-10-18,30.0
V-10000207,2026-02-15,30.0
V-10000208,2026-02-19,30.0
V-10000208,2026-01-20,30.0
V-10000208,2025-12-21,30.0
V-10000208,2025-11-21,30.0
V-10000209,2026-02-05,30.0
V-10000210,2026-02-02,30.0
V-10000211,2026-02-04,30.0
V-10000211,2026-01-05,30.0
V-10000211,2025-12-06,30.0
V-10000212,2025-12-10,30.0
V-10000213,2026-01-06,30.0
V-10000213,2025-12-07,30.0
V-10000213,2025-11-07,30.0
V-10000214,2025-09-07,30.0
V-10000214,2025-08-08,30.0
V-10000215,2026-02-14,30.0
V-10000215,2026-01-15,30.0
V-10000215,2025-12-16,30.0
V-10000216,2025-12-19,30.0
V-10000217,2026-02-01,30.0
V-10000217,2026-01-02,30.0
V-10000218,2026-02-05,30.0
V-10000219,2025-12-07,30.0
V-10000219,2025-11-07,30.0
V-10000220,2025-12-07,30.0
V-10000220,2025-11-07,30.0
V-10000221,2026-01-25,30.0
V-10000221,2025-12-26,30.0
V-10000221,2025-11-26,30.0
V-10000221,2025-10-27,30.0
V-10000222,2026-01-16,30.0
V-10000222,2025-12-17,30.0
V-10000222,2025-11-17,30.0
V-10000222,2025-10-18,30.0
V-10000223,2026-01-07,30.0
V-10000223,2025-12-08,30.0
V-10000223,2025-11-08,30.0
V-10000223,2025-10-09,30.0
V-10000224,2025-09-30,30.0
V-10000224,2025-08-31,30.0
V-10000224,2025-08-01,30.0
V-10000225,2025-11-10,30.0
V-10000225,2025-10-11,30.0
V-10000225,2025-09-11,30.0
V-10000226,2025-11-02,30.0
V-10000226,2025-10-03,30.0
V-10000226,2025-09-03,30.0
V-10000226,2025-08-04,30.0
V-10000227,2026-01-08,30.0
V-10000227,2025-12-09,30.0
V-10000228,2025-11-18,30.0
V-10000228,2025-10-19,30.0
V-10000228,2025-09-19,30.0
V-10000229,2025-12-26,30.0
V-10000229,2025-11-26,30.0
V-10000230,2025-11-03,30.0
V-10000230,2025-10-04,30.0
V-10000231,2026-01-25,30.0
V-10000231,2025-12-26,30.0
V-10000231,2025-11-26,30.0
V-10000232,2025-12-07,30.0
V-10000232,2025-11-07,30.0
V-10000232,2025-10-08,30.0
V-10000232,2025-09-08,30.0
V-10000233,2025-12-06,30.0
V-10000233,2025-11-06,30.0
V-10000234,2026-01-25,30.0
V-10000234,2025-12-26,30.0
V-10000234,2025-11-26,30.0
V-10000234,2025-10-27,30.0
V-10000235,2025-12-17,30.0
V-10000236,2026-01-23,30.0
V-10000237,2025-12-06,30.0
V-10000238,2026-01-12,30.0
V-10000238,2025-12-13,30.0
V-10000239,2025-10-03,30.0
V-10000240,2026-01-15,30.0
V-10000240,2025-12-16,30.0
V-10000240,2025-11-16,30.0
V-10000241,2025-09-09,30.0
V-10000241,2025-08-10,30.0
V-10000242,2026-01-08,30.0
V-10000242,2025-12-09,30.0
V-10000242,2025-11-09,30.0
V-10000242,2025-10-10,30.0
V-10000243,2025-12-23,30.0
V-10000243,2025-11-23,30.0
V-10000243,2025-10-24,30.0
V-10000243,2025-09-24,30.0
V-10000244,2026-02-14,30.0
V-10000244,2026-01-15,30.0
V-10000244,2025-12-16,30.0
V-10000244,2025-11-16,30.0
V-10000245,2025-10-20,30.0
V-10000245,2025-09-20,30.0
V-10000245,2025-08-21,30.0
V-10000246,2026-01-11,30.0
V-10000246,2025-12-12,30.0
V-10000246,2025-11-12,30.0
V-10000246,2025-10-13,30.0
V-10000247,2026-02-17,30.0
V-10000248,2025-09-14,30.0
V-10000248,2025-08-15,30.0
V-10000248,2025-07-16,30.0
V-10000248,2025-06-16,30.0
V-10000249,2026-01-09,30.0
V-10000249,2025-12-10,30.0
V-10000249,2025-11-10,30.0
V-10000250,2025-12-29,30.0
V-10000250,2025-11-29,30.0
V-10000250,2025-10-30,30.0
V-10000251,2025-10-15,30.0
V-10000251,2025-09-15,30.0
V-10000251,2025-08-16,30.0
V-10000251,2025-07-17,30.0
V-10000252,2025-11-07,30.0
V-10000252,2025-10-08,30.0
V-10000252,2025-09-08,30.0
V-10000252,2025-08-09,30.0
V-10000253,2025-12-29,30.0
V-10000253,2025-11-29,30.0
V-10000254,2025-11-21,30.0
V-10000254,2025-10-22,30.0
V-10000254,2025-09-22,30.0
V-10000254,2025-08-23,30.0
V-10000255,2026-02-16,30.0
V-10000255,2026-01-17,30.0
V-10000255,2025-12-18,30.0
V-10000256,2026-02-09,30.0
V-10000256,2026-01-10,30.0
V-10000257,2025-12-13,30.0
V-10000257,2025-11-13,30.0
V-10000257,2025-10-14,30.0
V-10000258,2026-02-16,30.0
V-10000258,2026-01-17,30.0
V-10000258,2025-12-18,30.0
V-10000259,2026-02-15,30.0
V-10000259,2026-01-16,30.0
V-10000260,2026-01-11,30.0
V-10000260,2025-12-12,30.0
V-10000261,2026-02-17,30.0
V-10000262,2026-01-27,30.0
V-10000262,2025-12-28,30.0
V-10000262,2025-11-28,30.0
V-10000263,2025-12-16,30.0
V-10000263,2025-11-16,30.0
V-10000263,2025-10-17,30.0
V-10000264,2025-12-11,30.0
V-10000264,2025-11-11,30.0
V-10000265,2025-11-27,30.0
V-10000266,2026-01-02,30.0
V-10000267,2026-01-04,30.0
V-10000267,2025-12-05,30.0
V-10000267,2025-11-05,30.0
V-10000268,2025-12-25,30.0
V-10000268,2025-11-25,30.0
V-10000268,2025-10-26,30.0
V-10000268,2025-09-26,30.0
V-10000269,2026-01-15,30.0
V-10000269,2025-12-16,30.0
V-10000269,2025-11-16,30.0
V-10000270,2026-01-15,30.0
V-10000270,2025-12-16,30.0
V-10000271,2026-02-12,30.0
V-10000272,2026-02-04,30.0
V-10000272,2026-01-05,30.0
V-10000272,2025-12-06,30.0
V-10000273,2025-12-21,30.0
V-10000273,2025-11-21,30.0
V-10000273,2025-10-22,30.0
V-10000273,2025-09-22,30.0
V-10000274,2025-10-11,30.0
V-10000274,2025-09-11,30.0
V-10000274,2025-08-12,30.0
V-10000274,2025-07-13,30.0
V-10000275,2025-09-28,30.0
V-10000275,2025-08-29,30.0
V-10000275,2025-07-30,30.0
V-10000275,2025-06-30,30.0
V-10000276,2026-01-22,30.0
V-10000276,2025-12-23,30.0
V-10000276,2025-11-23,30.0
V-10000277,2025-09-20,30.0
V-10000277,2025-08-21,30.0
V-10000278,2025-12-29,30.0
V-10000278,2025-11-29,30.0
V-10000278,2025-10-30,30.0
V-10000279,2026-01-05,30.0
V-10000279,2025-12-06,30.0
V-10000279,2025-11-06,30.0
V-10000280,2025-12-21,30.0
V-10000280,2025-11-21,30.0
V-10000280,2025-10-22,30.0
V-10000280,2025-09-22,30.0
V-10000281,2025-10-19,30.0
V-10000281,2025-09-19,30.0
V-10000281,2025-08-20,30.0
V-10000281,2025-07-21,30.0
V-10000282,2026-02-07,30.0
V-10000282,2026-01-08,30.0
V-10000282,2025-12-09,30.0
V-10000283,2026-01-17,30.0
V-10000283,2025-12-18,30.0
V-10000283,2025-11-18,30.0
V-10000284,2026-02-22,30.0
V-10000284,2026-01-23,30.0
V-10000284,2025-12-24,30.0
V-10000285,2025-12-06,30.0
V-10000286,2026-02-18,30.0
V-10000286,2026-01-19,30.0
V-10000286,2025-12-20,30.0
V-10000286,2025-11-20,30.0
V-10000287,2026-01-24,30.0
V-10000288,2026-01-02,30.0
V-10000288,2025-12-03,30.0
V-10000289,2025-12-26,30.0
V-10000290,2025-12-02,30.0
V-10000290,2025-11-02,30.0
V-10000290,2025-10-03,30.0
V-10000290,2025-09-03,30.0
V-10000291,2025-12-18,30.0
V-10000291,2025-11-18,30.0
V-10000291,2025-10-19,30.0
V-10000292,2026-01-24,30.0
V-10000292,2025-12-25,30.0
V-10000292,2025-11-25,30.0
V-10000293,2026-01-29,30.0
V-10000293,2025-12-30,30.0
V-10000293,2025-11-30,30.0
V-10000293,2025-10-31,30.0
V-10000294,2026-01-20,30.0
V-10000294,2025-12-21,30.0
V-10000294,2025-11-21,30.0
V-10000295,2026-02-06,30.0
V-10000295,2026-01-07,30.0
V-10000295,2025-12-08,30.0
V-10000296,2025-12-03,30.0
V-10000296,2025-11-03,30.0
V-10000296,2025-10-04,30.0
V-10000297,2025-12-15,30.0
V-10000297,2025-11-15,30.0
V-10000297,2025-10-16,30.0
V-10000298,2025-09-24,30.0
V-10000298,2025-08-25,30.0
V-10000299,2025-12-26,30.0
V-10000300,2025-12-26,30.0
V-10000300,2025-11-26,30.0
V-10000300,2025-10-27,30.0
V-10000300,2025-09-27,30.0
V-10000301,2026-02-13,30.0
V-10000301,2026-01-14,30.0
V-10000302,2026-02-02,30.0
V-10000303,2026-02-23,30.0
V-10000303,2026-01-24,30.0
V-10000303,2025-12-25,30.0
V-10000304,2025-12-04,30.0
V-10000304,2025-11-04,30.0
V-10000304,2025-10-05,30.0
V-10000304,2025-09-05,30.0
V-10000305,2026-02-10,30.0
V-10000305,2026-01-11,30.0
V-10000305,2025-12-12,30.0
V-10000306,2025-10-18,30.0
V-10000306,2025-09-18,30.0
V-10000306,2025-08-19,30.0
V-10000307,2026-01-04,30.0
V-10000307,2025-12-05,30.0
V-10000307,2025-11-05,30.0
V-10000307,2025-10-06,30.0
V-10000308,2026-02-01,30.0
V-10000308,2026-01-02,30.0
V-10000309,2026-01-25,30.0
V-10000309,2025-12-26,30.0
V-10000309,2025-11-26,30.0
V-10000309,2025-10-27,30.0
V-10000310,2026-02-23,30.0
V-10000310,2026-01-24,30.0
V-10000310,2025-12-25,30.0
V-10000311,2026-02-04,30.0
V-10000311,2026-01-05,30.0
V-10000311,2025-12-06,30.0
V-10000311,2025-11-06,30.0
V-10000312,2026-01-27,30.0
V-10000312,2025-12-28,30.0
V-10000313,2025-12-09,30.0
V-10000313,2025-11-09,30.0
V-10000313,2025-10-10,30.0
V-10000314,2026-01-28,30.0
V-10000314,2025-12-29,30.0
V-10000315,2026-02-15,30.0
V-10000316,2026-02-03,30.0
V-10000316,2026-01-04,30.0
V-10000316,2025-12-05,30.0
V-10000317,2025-12-24,30.0
V-10000318,2025-10-08,30.0
V-10000318,2025-09-08,30.0
V-10000318,2025-08-09,30.0
V-10000318,2025-07-10,30.0
V-10000319,2026-01-05,30.0
V-10000319,2025-12-06,30.0
V-10000319,2025-11-06,30.0
V-10000320,2026-02-16,30.0
V-10000321,2026-02-07,30.0
V-10000321,2026-01-08,30.0
V-10000321,2025-12-09,30.0
V-10000321,2025-11-09,30.0
V-10000322,2025-12-02,30.0
